from,to
30083,5804
30083,37358
30083,35236
30083,11769
30083,26464
30083,38419
30083,11713
30083,6566
30083,11019
30083,7907
30083,32256
30083,1206
30083,28588
30083,16843
30083,19107
30083,36299
30083,17249
30083,19544
30083,13452
30083,21455
30083,10751
30083,36023
30083,27727
30083,27784
30083,22480
30083,36125
30083,27370
30083,32483
30083,22883
30083,18744
30083,11870
30083,5878
30083,6682
30083,10048
30083,13562
30083,14093
30083,14460
30083,26844
30083,18591
30083,1681
30083,29739
30083,7098
30083,36640
30083,12970
30083,27710
30083,16136
30083,37437
30083,35353
30083,4078
33855,22032
33855,35940
33855,37378
33855,4162
33855,28236
33855,6675
33855,24925
33855,30083
33855,33855
33855,5804
33855,37358
33855,35236
33855,11769
33855,26464
33855,38419
33855,11713
33855,6566
33855,11019
33855,7907
33855,32256
33855,1206
33855,28588
33855,16843
33855,19107
33855,36299
33855,17249
33855,19544
33855,13452
33855,21455
33855,10751
33855,36023
33855,27727
33855,27784
33855,22480
33855,36125
33855,27370
33855,32483
33855,22883
33855,18744
33855,11870
33855,5878
33855,6682
33855,10048
33855,13562
33855,14093
33855,14460
33855,26844
33855,18591
33855,1681
33855,29739
33855,7098
33855,36640
33855,12970
33855,27710
33855,16136
33855,37437
33855,35353
33855,4078
5804,22032
5804,35940
5804,37378
5804,4162
5804,28236
5804,6675
5804,24925
5804,30083
5804,33855
5804,5804
5804,37358
5804,35236
5804,11769
5804,26464
5804,38419
5804,11713
5804,6566
5804,11019
5804,7907
5804,32256
5804,1206
5804,28588
5804,16843
5804,19107
5804,36299
5804,17249
5804,19544
5804,13452
5804,21455
5804,10751
5804,36023
5804,27727
5804,27784
5804,22480
5804,36125
5804,27370
5804,32483
5804,22883
5804,18744
5804,11870
5804,5878
5804,6682
5804,10048
5804,13562
5804,14093
5804,14460
5804,26844
5804,18591
5804,1681
5804,29739
5804,7098
5804,36640
5804,12970
5804,27710
5804,16136
5804,37437
5804,35353
5804,4078
37358,22032
37358,35940
37358,37378
37358,4162
37358,28236
37358,6675
37358,24925
37358,30083
37358,33855
37358,5804
37358,37358
37358,35236
37358,11769
37358,26464
37358,38419
37358,11713
37358,6566
37358,11019
37358,7907
37358,32256
37358,1206
37358,28588
37358,16843
37358,19107
37358,36299
37358,17249
37358,19544
37358,13452
37358,21455
37358,10751
37358,36023
37358,27727
37358,27784
37358,22480
37358,36125
37358,27370
37358,32483
37358,22883
37358,18744
37358,11870
37358,5878
37358,6682
37358,10048
37358,13562
37358,14093
37358,14460
37358,26844
37358,18591
37358,1681
37358,29739
37358,7098
37358,36640
37358,12970
37358,27710
37358,16136
37358,37437
37358,35353
37358,4078
35236,22032
35236,35940
35236,37378
35236,4162
35236,28236
35236,6675
35236,24925
35236,30083
35236,33855
35236,5804
35236,37358
35236,35236
35236,11769
35236,26464
35236,38419
35236,11713
35236,6566
35236,11019
35236,7907
35236,32256
35236,1206
35236,28588
35236,16843
35236,19107
35236,36299
35236,17249
35236,19544
35236,13452
35236,21455
35236,10751
35236,36023
35236,27727
35236,27784
35236,22480
35236,36125
35236,27370
35236,32483
35236,22883
35236,18744
35236,11870
35236,5878
35236,6682
35236,10048
35236,13562
35236,14093
35236,14460
35236,26844
35236,18591
35236,1681
35236,29739
35236,7098
35236,36640
35236,12970
35236,27710
35236,16136
35236,37437
35236,35353
35236,4078
11769,22032
11769,35940
11769,37378
11769,4162
11769,28236
11769,6675
11769,24925
11769,30083
11769,33855
11769,5804
11769,37358
11769,35236
11769,11769
11769,26464
11769,38419
11769,11713
11769,6566
11769,11019
11769,7907
11769,32256
11769,1206
11769,28588
11769,16843
11769,19107
11769,36299
11769,17249
11769,19544
11769,13452
11769,21455
11769,10751
11769,36023
11769,27727
11769,27784
11769,22480
11769,36125
11769,27370
11769,32483
11769,22883
11769,18744
11769,11870
11769,5878
11769,6682
11769,10048
11769,13562
11769,14093
11769,14460
11769,26844
11769,18591
11769,1681
11769,29739
11769,7098
11769,36640
11769,12970
11769,27710
11769,16136
11769,37437
11769,35353
11769,4078
26464,22032
26464,35940
26464,37378
26464,4162
26464,28236
26464,6675
26464,24925
26464,30083
26464,33855
26464,5804
26464,37358
26464,35236
26464,11769
26464,26464
26464,38419
26464,11713
26464,6566
26464,11019
26464,7907
26464,32256
26464,1206
26464,28588
26464,16843
26464,19107
26464,36299
26464,17249
26464,19544
26464,13452
26464,21455
26464,10751
26464,36023
26464,27727
26464,27784
26464,22480
26464,36125
26464,27370
26464,32483
26464,22883
26464,18744
26464,11870
26464,5878
26464,6682
26464,10048
26464,13562
26464,14093
26464,14460
26464,26844
26464,18591
26464,1681
26464,29739
26464,7098
26464,36640
26464,12970
26464,27710
26464,16136
26464,37437
26464,35353
26464,4078
38419,22032
38419,35940
38419,37378
38419,4162
38419,28236
38419,6675
38419,24925
38419,30083
38419,33855
38419,5804
38419,37358
38419,35236
38419,11769
38419,26464
38419,38419
38419,11713
38419,6566
38419,11019
38419,7907
38419,32256
38419,1206
38419,28588
38419,16843
38419,19107
38419,36299
38419,17249
38419,19544
38419,13452
38419,21455
38419,10751
38419,36023
38419,27727
38419,27784
38419,22480
38419,36125
38419,27370
38419,32483
38419,22883
38419,18744
38419,11870
38419,5878
38419,6682
38419,10048
38419,13562
38419,14093
38419,14460
38419,26844
38419,18591
38419,1681
38419,29739
38419,7098
38419,36640
38419,12970
38419,27710
38419,16136
38419,37437
38419,35353
38419,4078
11713,22032
11713,35940
11713,37378
11713,4162
11713,28236
11713,6675
11713,24925
11713,30083
11713,33855
11713,5804
11713,37358
11713,35236
11713,11769
11713,26464
11713,38419
11713,11713
11713,6566
11713,11019
11713,7907
11713,32256
11713,1206
11713,28588
11713,16843
11713,19107
11713,36299
11713,17249
11713,19544
11713,13452
11713,21455
11713,10751
11713,36023
11713,27727
11713,27784
11713,22480
11713,36125
11713,27370
11713,32483
11713,22883
11713,18744
11713,11870
11713,5878
11713,6682
11713,10048
11713,13562
11713,14093
11713,14460
11713,26844
11713,18591
11713,1681
11713,29739
11713,7098
11713,36640
11713,12970
11713,27710
11713,16136
11713,37437
11713,35353
11713,4078
6566,22032
6566,35940
6566,37378
6566,4162
6566,28236
6566,6675
6566,24925
6566,30083
6566,33855
6566,5804
6566,37358
6566,35236
6566,11769
6566,26464
6566,38419
6566,11713
6566,6566
6566,11019
6566,7907
6566,32256
6566,1206
6566,28588
6566,16843
6566,19107
6566,36299
6566,17249
6566,19544
6566,13452
6566,21455
6566,10751
6566,36023
6566,27727
6566,27784
6566,22480
6566,36125
6566,27370
6566,32483
6566,22883
6566,18744
6566,11870
6566,5878
6566,6682
6566,10048
6566,13562
6566,14093
6566,14460
6566,26844
6566,18591
6566,1681
6566,29739
6566,7098
6566,36640
6566,12970
6566,27710
6566,16136
6566,37437
6566,35353
6566,4078
11019,22032
11019,35940
11019,37378
11019,4162
11019,28236
11019,6675
11019,24925
11019,30083
11019,33855
11019,5804
11019,37358
11019,35236
11019,11769
11019,26464
11019,38419
11019,11713
11019,6566
11019,11019
11019,7907
11019,32256
11019,1206
11019,28588
11019,16843
11019,19107
11019,36299
11019,17249
11019,19544
11019,13452
11019,21455
11019,10751
11019,36023
11019,27727
11019,27784
11019,22480
11019,36125
11019,27370
11019,32483
11019,22883
11019,18744
11019,11870
11019,5878
11019,6682
11019,10048
11019,13562
11019,14093
11019,14460
11019,26844
11019,18591
11019,1681
11019,29739
11019,7098
11019,36640
11019,12970
11019,27710
11019,16136
11019,37437
11019,35353
11019,4078
7907,22032
7907,35940
7907,37378
7907,4162
7907,28236
7907,6675
7907,24925
7907,30083
7907,33855
7907,5804
7907,37358
7907,35236
7907,11769
7907,26464
7907,38419
7907,11713
7907,6566
7907,11019
7907,7907
7907,32256
7907,1206
7907,28588
7907,16843
7907,19107
7907,36299
7907,17249
7907,19544
7907,13452
7907,21455
7907,10751
7907,36023
7907,27727
7907,27784
7907,22480
7907,36125
7907,27370
7907,32483
7907,22883
7907,18744
7907,11870
7907,5878
7907,6682
7907,10048
7907,13562
7907,14093
7907,14460
7907,26844
7907,18591
7907,1681
7907,29739
7907,7098
7907,36640
7907,12970
7907,27710
7907,16136
7907,37437
7907,35353
7907,4078
32256,22032
32256,35940
32256,37378
32256,4162
32256,28236
32256,6675
32256,24925
32256,30083
32256,33855
32256,5804
32256,37358
32256,35236
32256,11769
32256,26464
32256,38419
32256,11713
32256,6566
32256,11019
32256,7907
32256,32256
32256,1206
32256,28588
32256,16843
32256,19107
32256,36299
32256,17249
32256,19544
32256,13452
32256,21455
32256,10751
32256,36023
32256,27727
32256,27784
32256,22480
32256,36125
32256,27370
32256,32483
32256,22883
32256,18744
32256,11870
32256,5878
32256,6682
32256,10048
32256,13562
32256,14093
32256,14460
32256,26844
32256,18591
32256,1681
32256,29739
32256,7098
32256,36640
32256,12970
32256,27710
32256,16136
32256,37437
32256,35353
32256,4078
1206,22032
1206,35940
1206,37378
1206,4162
1206,28236
1206,6675
1206,24925
1206,30083
1206,33855
1206,5804
1206,37358
1206,35236
1206,11769
1206,26464
1206,38419
1206,11713
1206,6566
1206,11019
1206,7907
1206,32256
1206,1206
1206,28588
1206,16843
1206,19107
1206,36299
1206,17249
1206,19544
1206,13452
1206,21455
1206,10751
1206,36023
1206,27727
1206,27784
1206,22480
1206,36125
1206,27370
1206,32483
1206,22883
1206,18744
1206,11870
1206,5878
1206,6682
1206,10048
1206,13562
1206,14093
1206,14460
1206,26844
1206,18591
1206,1681
1206,29739
1206,7098
1206,36640
1206,12970
1206,27710
1206,16136
1206,37437
1206,35353
1206,4078
28588,22032
28588,35940
28588,37378
28588,4162
28588,28236
28588,6675
28588,24925
28588,30083
28588,33855
28588,5804
28588,37358
28588,35236
28588,11769
28588,26464
28588,38419
28588,11713
28588,6566
28588,11019
28588,7907
28588,32256
28588,1206
28588,28588
28588,16843
28588,19107
28588,36299
28588,17249
28588,19544
28588,13452
28588,21455
28588,10751
28588,36023
28588,27727
28588,27784
28588,22480
28588,36125
28588,27370
28588,32483
28588,22883
28588,18744
28588,11870
28588,5878
28588,6682
28588,10048
28588,13562
28588,14093
28588,14460
28588,26844
28588,18591
28588,1681
28588,29739
28588,7098
28588,36640
28588,12970
28588,27710
28588,16136
28588,37437
28588,35353
28588,4078
16843,22032
16843,35940
16843,37378
16843,4162
16843,28236
16843,6675
16843,24925
16843,30083
16843,33855
16843,5804
16843,37358
16843,35236
16843,11769
16843,26464
16843,38419
16843,11713
16843,6566
16843,11019
16843,7907
16843,32256
16843,1206
16843,28588
16843,16843
16843,19107
16843,36299
16843,17249
16843,19544
16843,13452
16843,21455
16843,10751
16843,36023
16843,27727
16843,27784
16843,22480
16843,36125
16843,27370
16843,32483
16843,22883
16843,18744
16843,11870
16843,5878
16843,6682
16843,10048
16843,13562
16843,14093
16843,14460
16843,26844
16843,18591
16843,1681
16843,29739
16843,7098
16843,36640
16843,12970
16843,27710
16843,16136
16843,37437
16843,35353
16843,4078
19107,22032
19107,35940
19107,37378
19107,4162
19107,28236
19107,6675
19107,24925
19107,30083
19107,33855
19107,5804
19107,37358
19107,35236
19107,11769
19107,26464
19107,38419
19107,11713
19107,6566
19107,11019
19107,7907
19107,32256
19107,1206
19107,28588
19107,16843
19107,19107
19107,36299
19107,17249
19107,19544
19107,13452
19107,21455
19107,10751
19107,36023
19107,27727
19107,27784
19107,22480
19107,36125
19107,27370
19107,32483
19107,22883
19107,18744
19107,11870
19107,5878
19107,6682
19107,10048
19107,13562
19107,14093
19107,14460
19107,26844
19107,18591
19107,1681
19107,29739
19107,7098
19107,36640
19107,12970
19107,27710
19107,16136
19107,37437
19107,35353
19107,4078
36299,22032
36299,35940
36299,37378
36299,4162
36299,28236
36299,6675
36299,24925
36299,30083
36299,33855
36299,5804
36299,37358
36299,35236
36299,11769
36299,26464
36299,38419
36299,11713
36299,6566
36299,11019
36299,7907
36299,32256
36299,1206
36299,28588
36299,16843
36299,19107
36299,36299
36299,17249
36299,19544
36299,13452
36299,21455
36299,10751
36299,36023
36299,27727
36299,27784
36299,22480
36299,36125
36299,27370
36299,32483
36299,22883
36299,18744
36299,11870
36299,5878
36299,6682
36299,10048
36299,13562
36299,14093
36299,14460
36299,26844
36299,18591
36299,1681
36299,29739
36299,7098
36299,36640
36299,12970
36299,27710
36299,16136
36299,37437
36299,35353
36299,4078
17249,22032
17249,35940
17249,37378
17249,4162
17249,28236
17249,6675
17249,24925
17249,30083
17249,33855
17249,5804
17249,37358
17249,35236
17249,11769
17249,26464
17249,38419
17249,11713
17249,6566
17249,11019
17249,7907
17249,32256
17249,1206
17249,28588
17249,16843
17249,19107
17249,36299
17249,17249
17249,19544
17249,13452
17249,21455
17249,10751
17249,36023
17249,27727
17249,27784
17249,22480
17249,36125
17249,27370
17249,32483
17249,22883
17249,18744
17249,11870
17249,5878
17249,6682
17249,10048
17249,13562
17249,14093
17249,14460
17249,26844
17249,18591
17249,1681
17249,29739
17249,7098
17249,36640
17249,12970
17249,27710
17249,16136
17249,37437
17249,35353
17249,4078
19544,22032
19544,35940
19544,37378
19544,4162
19544,28236
19544,6675
19544,24925
19544,30083
19544,33855
19544,5804
19544,37358
19544,35236
19544,11769
19544,26464
19544,38419
19544,11713
19544,6566
19544,11019
19544,7907
19544,32256
19544,1206
19544,28588
19544,16843
19544,19107
19544,36299
19544,17249
19544,19544
19544,13452
19544,21455
19544,10751
19544,36023
19544,27727
19544,27784
19544,22480
19544,36125
19544,27370
19544,32483
19544,22883
19544,18744
19544,11870
19544,5878
19544,6682
19544,10048
19544,13562
19544,14093
19544,14460
19544,26844
19544,18591
19544,1681
19544,29739
19544,7098
19544,36640
19544,12970
19544,27710
19544,16136
19544,37437
19544,35353
19544,4078
13452,22032
13452,35940
13452,37378
13452,4162
13452,28236
13452,6675
13452,24925
13452,30083
13452,33855
13452,5804
13452,37358
13452,35236
13452,11769
13452,26464
13452,38419
13452,11713
13452,6566
13452,11019
13452,7907
13452,32256
13452,1206
13452,28588
13452,16843
13452,19107
13452,36299
13452,17249
13452,19544
13452,13452
13452,21455
13452,10751
13452,36023
13452,27727
13452,27784
13452,22480
13452,36125
13452,27370
13452,32483
13452,22883
13452,18744
13452,11870
13452,5878
13452,6682
13452,10048
13452,13562
13452,14093
13452,14460
13452,26844
13452,18591
13452,1681
13452,29739
13452,7098
13452,36640
13452,12970
13452,27710
13452,16136
13452,37437
13452,35353
13452,4078
21455,22032
21455,35940
21455,37378
21455,4162
21455,28236
21455,6675
21455,24925
21455,30083
21455,33855
21455,5804
21455,37358
21455,35236
21455,11769
21455,26464
21455,38419
21455,11713
21455,6566
21455,11019
21455,7907
21455,32256
21455,1206
21455,28588
21455,16843
21455,19107
21455,36299
21455,17249
21455,19544
21455,13452
21455,21455
21455,10751
21455,36023
21455,27727
21455,27784
21455,22480
21455,36125
21455,27370
21455,32483
21455,22883
21455,18744
21455,11870
21455,5878
21455,6682
21455,10048
21455,13562
21455,14093
21455,14460
21455,26844
21455,18591
21455,1681
21455,29739
21455,7098
21455,36640
21455,12970
21455,27710
21455,16136
21455,37437
21455,35353
21455,4078
10751,22032
10751,35940
10751,37378
10751,4162
10751,28236
10751,6675
10751,24925
10751,30083
10751,33855
10751,5804
10751,37358
10751,35236
10751,11769
10751,26464
10751,38419
10751,11713
10751,6566
10751,11019
10751,7907
10751,32256
10751,1206
10751,28588
10751,16843
10751,19107
10751,36299
10751,17249
10751,19544
10751,13452
10751,21455
10751,10751
10751,36023
10751,27727
10751,27784
10751,22480
10751,36125
10751,27370
10751,32483
10751,22883
10751,18744
10751,11870
10751,5878
10751,6682
10751,10048
10751,13562
10751,14093
10751,14460
10751,26844
10751,18591
10751,1681
10751,29739
10751,7098
10751,36640
10751,12970
10751,27710
10751,16136
10751,37437
10751,35353
10751,4078
36023,22032
36023,35940
36023,37378
36023,4162
36023,28236
36023,6675
36023,24925
36023,30083
36023,33855
36023,5804
36023,37358
36023,35236
36023,11769
36023,26464
36023,38419
36023,11713
36023,6566
36023,11019
36023,7907
36023,32256
36023,1206
36023,28588
36023,16843
36023,19107
36023,36299
36023,17249
36023,19544
36023,13452
36023,21455
36023,10751
36023,36023
36023,27727
36023,27784
36023,22480
36023,36125
36023,27370
36023,32483
36023,22883
36023,18744
36023,11870
36023,5878
36023,6682
36023,10048
36023,13562
36023,14093
36023,14460
36023,26844
36023,18591
36023,1681
36023,29739
36023,7098
36023,36640
36023,12970
36023,27710
36023,16136
36023,37437
36023,35353
36023,4078
27727,22032
27727,35940
27727,37378
27727,4162
27727,28236
27727,6675
27727,24925
27727,30083
27727,33855
27727,5804
27727,37358
27727,35236
27727,11769
27727,26464
27727,38419
27727,11713
27727,6566
27727,11019
27727,7907
27727,32256
27727,1206
27727,28588
27727,16843
27727,19107
27727,36299
27727,17249
27727,19544
27727,13452
27727,21455
27727,10751
27727,36023
27727,27727
27727,27784
27727,22480
27727,36125
27727,27370
27727,32483
27727,22883
27727,18744
27727,11870
27727,5878
27727,6682
27727,10048
27727,13562
27727,14093
27727,14460
27727,26844
27727,18591
27727,1681
27727,29739
27727,7098
27727,36640
27727,12970
27727,27710
27727,16136
27727,37437
27727,35353
27727,4078
27784,22032
27784,35940
27784,37378
27784,4162
27784,28236
27784,6675
27784,24925
27784,30083
27784,33855
27784,5804
27784,37358
27784,35236
27784,11769
27784,26464
27784,38419
27784,11713
27784,6566
27784,11019
27784,7907
27784,32256
27784,1206
27784,28588
27784,16843
27784,19107
27784,36299
27784,17249
27784,19544
27784,13452
27784,21455
27784,10751
27784,36023
27784,27727
27784,27784
27784,22480
27784,36125
27784,27370
27784,32483
27784,22883
27784,18744
27784,11870
27784,5878
27784,6682
27784,10048
27784,13562
27784,14093
27784,14460
27784,26844
27784,18591
27784,1681
27784,29739
27784,7098
27784,36640
27784,12970
27784,27710
27784,16136
27784,37437
27784,35353
27784,4078
22480,22032
22480,35940
22480,37378
22480,4162
22480,28236
22480,6675
22480,24925
22480,30083
22480,33855
22480,5804
22480,37358
22480,35236
22480,11769
22480,26464
22480,38419
22480,11713
22480,6566
22480,11019
22480,7907
22480,32256
22480,1206
22480,28588
22480,16843
22480,19107
22480,36299
22480,17249
22480,19544
22480,13452
22480,21455
22480,10751
22480,36023
22480,27727
22480,27784
22480,22480
22480,36125
22480,27370
22480,32483
22480,22883
22480,18744
22480,11870
22480,5878
22480,6682
22480,10048
22480,13562
22480,14093
22480,14460
22480,26844
22480,18591
22480,1681
22480,29739
22480,7098
22480,36640
22480,12970
22480,27710
22480,16136
22480,37437
22480,35353
22480,4078
36125,22032
36125,35940
36125,37378
36125,4162
36125,28236
36125,6675
36125,24925
36125,30083
36125,33855
36125,5804
36125,37358
36125,35236
36125,11769
36125,26464
36125,38419
36125,11713
36125,6566
36125,11019
36125,7907
36125,32256
36125,1206
36125,28588
36125,16843
36125,19107
36125,36299
36125,17249
36125,19544
36125,13452
36125,21455
36125,10751
36125,36023
36125,27727
36125,27784
36125,22480
36125,36125
36125,27370
36125,32483
36125,22883
36125,18744
36125,11870
36125,5878
36125,6682
36125,10048
36125,13562
36125,14093
36125,14460
36125,26844
36125,18591
36125,1681
36125,29739
36125,7098
36125,36640
36125,12970
36125,27710
36125,16136
36125,37437
36125,35353
36125,4078
27370,22032
27370,35940
27370,37378
27370,4162
27370,28236
27370,6675
27370,24925
27370,30083
27370,33855
27370,5804
27370,37358
27370,35236
27370,11769
27370,26464
27370,38419
27370,11713
27370,6566
27370,11019
27370,7907
27370,32256
27370,1206
27370,28588
27370,16843
27370,19107
27370,36299
27370,17249
27370,19544
27370,13452
27370,21455
27370,10751
27370,36023
27370,27727
27370,27784
27370,22480
27370,36125
27370,27370
27370,32483
27370,22883
27370,18744
27370,11870
27370,5878
27370,6682
27370,10048
27370,13562
27370,14093
27370,14460
27370,26844
27370,18591
27370,1681
27370,29739
27370,7098
27370,36640
27370,12970
27370,27710
27370,16136
27370,37437
27370,35353
27370,4078
32483,22032
32483,35940
32483,37378
32483,4162
32483,28236
32483,6675
32483,24925
32483,30083
32483,33855
32483,5804
32483,37358
32483,35236
32483,11769
32483,26464
32483,38419
32483,11713
32483,6566
32483,11019
32483,7907
32483,32256
32483,1206
32483,28588
32483,16843
32483,19107
32483,36299
32483,17249
32483,19544
32483,13452
32483,21455
32483,10751
32483,36023
32483,27727
32483,27784
32483,22480
32483,36125
32483,27370
32483,32483
32483,22883
32483,18744
32483,11870
32483,5878
32483,6682
32483,10048
32483,13562
32483,14093
32483,14460
32483,26844
32483,18591
32483,1681
32483,29739
32483,7098
32483,36640
32483,12970
32483,27710
32483,16136
32483,37437
32483,35353
32483,4078
22883,22032
22883,35940
22883,37378
22883,4162
22883,28236
22883,6675
22883,24925
22883,30083
22883,33855
22883,5804
22883,37358
22883,35236
22883,11769
22883,26464
22883,38419
22883,11713
22883,6566
22883,11019
22883,7907
22883,32256
22883,1206
22883,28588
22883,16843
22883,19107
22883,36299
22883,17249
22883,19544
22883,13452
22883,21455
22883,10751
22883,36023
22883,27727
22883,27784
22883,22480
22883,36125
22883,27370
22883,32483
22883,22883
22883,18744
22883,11870
22883,5878
22883,6682
22883,10048
22883,13562
22883,14093
22883,14460
22883,26844
22883,18591
22883,1681
22883,29739
22883,7098
22883,36640
22883,12970
22883,27710
22883,16136
22883,37437
22883,35353
22883,4078
18744,22032
18744,35940
18744,37378
18744,4162
18744,28236
18744,6675
18744,24925
18744,30083
18744,33855
18744,5804
18744,37358
18744,35236
18744,11769
18744,26464
18744,38419
18744,11713
18744,6566
18744,11019
18744,7907
18744,32256
18744,1206
18744,28588
18744,16843
18744,19107
18744,36299
18744,17249
18744,19544
18744,13452
18744,21455
18744,10751
18744,36023
18744,27727
18744,27784
18744,22480
18744,36125
18744,27370
18744,32483
18744,22883
18744,18744
18744,11870
18744,5878
18744,6682
18744,10048
18744,13562
18744,14093
18744,14460
18744,26844
18744,18591
18744,1681
18744,29739
18744,7098
18744,36640
18744,12970
18744,27710
18744,16136
18744,37437
18744,35353
18744,4078
11870,22032
11870,35940
11870,37378
11870,4162
11870,28236
11870,6675
11870,24925
11870,30083
11870,33855
11870,5804
11870,37358
11870,35236
11870,11769
11870,26464
11870,38419
11870,11713
11870,6566
11870,11019
11870,7907
11870,32256
11870,1206
11870,28588
11870,16843
11870,19107
11870,36299
11870,17249
11870,19544
11870,13452
11870,21455
11870,10751
11870,36023
11870,27727
11870,27784
11870,22480
11870,36125
11870,27370
11870,32483
11870,22883
11870,18744
11870,11870
11870,5878
11870,6682
11870,10048
11870,13562
11870,14093
11870,14460
11870,26844
11870,18591
11870,1681
11870,29739
11870,7098
11870,36640
11870,12970
11870,27710
11870,16136
11870,37437
11870,35353
11870,4078
5878,22032
5878,35940
5878,37378
5878,4162
5878,28236
5878,6675
5878,24925
5878,30083
5878,33855
5878,5804
5878,37358
5878,35236
